,model,persona,variant,pid,vda,vda_normalized
47,gpt-3.5-turbo-0125,baseline,accuracy,47.0,0.6799999999999999,
48,gpt-3.5-turbo-0125,baseline,accuracy,48.0,0.66,
49,gpt-3.5-turbo-0125,baseline,accuracy,49.0,0.65,
50,gpt-3.5-turbo-0125,baseline,accuracy,50.0,0.71,
51,gpt-3.5-turbo-0125,baseline,accuracy,51.0,0.64,
52,gpt-3.5-turbo-0125,baseline,accuracy,52.0,0.67,
53,gpt-3.5-turbo-0125,baseline,accuracy,53.0,0.6799999999999999,
54,gpt-3.5-turbo-0125,baseline,accuracy,54.0,0.67,
55,gpt-3.5-turbo-0125,baseline,accuracy,55.0,0.6799999999999999,
56,gpt-3.5-turbo-0125,baseline,accuracy,56.0,0.67,
57,gpt-3.5-turbo-0125,baseline,accuracy,57.0,0.6900000000000001,
58,gpt-3.5-turbo-0125,baseline,accuracy,58.0,0.65,
59,gpt-3.5-turbo-0125,baseline,accuracy,59.0,0.64,
60,gpt-3.5-turbo-0125,baseline,accuracy,60.0,0.67,
61,gpt-3.5-turbo-0125,baseline,accuracy,61.0,0.67,
62,gpt-3.5-turbo-0125,baseline,accuracy,62.0,0.6799999999999999,
63,gpt-3.5-turbo-0125,baseline,accuracy,63.0,0.6900000000000001,
64,gpt-3.5-turbo-0125,baseline,accuracy,64.0,0.71,
65,gpt-3.5-turbo-0125,baseline,accuracy,65.0,0.6799999999999999,
66,gpt-3.5-turbo-0125,baseline,accuracy,66.0,0.6799999999999999,
67,gpt-3.5-turbo-0125,baseline,accuracy,67.0,0.6,
68,gpt-3.5-turbo-0125,baseline,accuracy,68.0,0.7,
69,gpt-3.5-turbo-0125,baseline,accuracy,69.0,0.67,
70,gpt-3.5-turbo-0125,baseline,accuracy,70.0,0.7,
71,gpt-3.5-turbo-0125,baseline,accuracy,71.0,0.6900000000000001,
72,gpt-3.5-turbo-0125,baseline,accuracy,72.0,0.6799999999999999,
73,gpt-3.5-turbo-0125,baseline,accuracy,73.0,0.67,
74,gpt-3.5-turbo-0125,baseline,accuracy,74.0,0.6799999999999999,
75,gpt-3.5-turbo-0125,baseline,accuracy,75.0,0.6799999999999999,
76,gpt-3.5-turbo-0125,baseline,accuracy,76.0,0.6900000000000001,
77,gpt-3.5-turbo-0125,baseline,accuracy,77.0,0.6900000000000001,
78,gpt-3.5-turbo-0125,baseline,accuracy,78.0,0.67,
79,gpt-3.5-turbo-0125,baseline,accuracy,79.0,0.72,
80,gpt-3.5-turbo-0125,baseline,accuracy,80.0,0.6900000000000001,
81,gpt-3.5-turbo-0125,baseline,accuracy,81.0,0.7,
82,gpt-3.5-turbo-0125,baseline,accuracy,82.0,0.67,
83,gpt-3.5-turbo-0125,baseline,accuracy,83.0,0.6900000000000001,
84,gpt-3.5-turbo-0125,baseline,accuracy,84.0,0.67,
85,gpt-3.5-turbo-0125,baseline,accuracy,85.0,0.7100000000000001,
86,gpt-3.5-turbo-0125,baseline,accuracy,86.0,0.71,
87,gpt-3.5-turbo-0125,baseline,accuracy,87.0,0.6599999999999999,
88,gpt-3.5-turbo-0125,baseline,accuracy,88.0,0.67,
89,gpt-3.5-turbo-0125,baseline,accuracy,89.0,0.67,
90,gpt-3.5-turbo-0125,baseline,accuracy,90.0,0.65,
91,gpt-3.5-turbo-0125,baseline,accuracy,91.0,0.6799999999999999,
92,gpt-3.5-turbo-0125,baseline,accuracy,92.0,0.6900000000000001,
93,gpt-3.5-turbo-0125,baseline,accuracy,93.0,0.6599999999999999,
94,gpt-3.5-turbo-0125,baseline,accuracy,94.0,0.71,
95,gpt-3.5-turbo-0125,baseline,accuracy,95.0,0.67,
96,gpt-3.5-turbo-0125,baseline,accuracy,96.0,0.71,
97,gpt-3.5-turbo-0125,baseline,accuracy,97.0,0.6799999999999999,
98,gpt-3.5-turbo-0125,baseline,accuracy,98.0,0.6799999999999999,
99,gpt-3.5-turbo-0125,baseline,accuracy,99.0,0.6599999999999999,
100,gpt-4-0613,baseline,accuracy,0.0,0.7684210526315789,
101,gpt-4-0613,baseline,accuracy,1.0,0.76,
102,gpt-4-0613,baseline,accuracy,2.0,0.74,
103,gpt-4-0613,baseline,accuracy,3.0,0.73,
104,gpt-4-0613,baseline,accuracy,4.0,0.78,
105,gpt-4-0613,baseline,accuracy,5.0,0.74,
106,gpt-4-0613,baseline,accuracy,6.0,0.73,
107,gpt-4-0613,baseline,accuracy,7.0,0.73,
108,gpt-4-0613,baseline,accuracy,8.0,0.7368421052631579,
109,gpt-4-0613,baseline,accuracy,9.0,0.7157894736842105,
110,gpt-4-0613,baseline,accuracy,10.0,0.75,
111,gpt-4-0613,baseline,accuracy,11.0,0.74,
112,gpt-4-0613,baseline,accuracy,12.0,0.75,
113,gpt-4-0613,baseline,accuracy,13.0,0.75,
114,gpt-4-0613,baseline,accuracy,14.0,0.75,
115,gpt-4-0613,baseline,accuracy,15.0,0.77,
116,gpt-4-0613,baseline,accuracy,16.0,0.74,
117,gpt-4-0613,baseline,accuracy,17.0,0.74,
118,gpt-4-0613,baseline,accuracy,18.0,0.75,
119,gpt-4-0613,baseline,accuracy,19.0,0.74,
120,gpt-4-0613,baseline,accuracy,20.0,0.73,
121,gpt-4-0613,baseline,accuracy,21.0,0.76,
122,gpt-4-0613,baseline,accuracy,22.0,0.75,
123,gpt-4-0613,baseline,accuracy,23.0,0.7368421052631579,
124,gpt-4-0613,baseline,accuracy,24.0,0.74,
125,gpt-4-0613,baseline,accuracy,25.0,0.73,
126,gpt-4-0613,baseline,accuracy,26.0,0.76,
127,gpt-4-0613,baseline,accuracy,27.0,0.73,
128,gpt-4-0613,baseline,accuracy,28.0,0.74,
129,gpt-4-0613,baseline,accuracy,29.0,0.73,
130,gpt-4-0613,baseline,accuracy,30.0,0.76,
131,gpt-4-0613,baseline,accuracy,31.0,0.78,
132,gpt-4-0613,baseline,accuracy,32.0,0.75,
133,gpt-4-0613,baseline,accuracy,33.0,0.73,
134,gpt-4-0613,baseline,accuracy,34.0,0.73,
135,gpt-4-0613,baseline,accuracy,35.0,0.73,
136,gpt-4-0613,baseline,accuracy,36.0,0.73,
137,gpt-4-0613,baseline,accuracy,37.0,0.74,
138,gpt-4-0613,baseline,accuracy,38.0,0.73,
139,gpt-4-0613,baseline,accuracy,39.0,0.74,
140,gpt-4-0613,baseline,accuracy,40.0,0.75,
141,gpt-4-0613,baseline,accuracy,41.0,0.75,
142,gpt-4-0613,baseline,accuracy,42.0,0.7368421052631579,
143,gpt-4-0613,baseline,accuracy,43.0,0.73,
144,gpt-4-0613,baseline,accuracy,44.0,0.74,
145,gpt-4-0613,baseline,accuracy,45.0,0.73,
146,gpt-4-0613,baseline,accuracy,46.0,0.75,
147,gpt-4-0613,baseline,accuracy,47.0,0.74,
148,gpt-4-0613,baseline,accuracy,48.0,0.7473684210526316,
149,gpt-4-0613,baseline,accuracy,49.0,0.74,
150,gpt-4-0613,baseline,accuracy,50.0,0.71,
151,gpt-4-0613,baseline,accuracy,51.0,0.75,
152,gpt-4-0613,baseline,accuracy,52.0,0.72,
153,gpt-4-0613,baseline,accuracy,53.0,0.74,
154,gpt-4-0613,baseline,accuracy,54.0,0.74,
155,gpt-4-0613,baseline,accuracy,55.0,0.7578947368421053,
156,gpt-4-0613,baseline,accuracy,56.0,0.75,
157,gpt-4-0613,baseline,accuracy,57.0,0.7473684210526316,
158,gpt-4-0613,baseline,accuracy,58.0,0.76,
159,gpt-4-0613,baseline,accuracy,59.0,0.75,
160,gpt-4-0613,baseline,accuracy,60.0,0.74,
161,gpt-4-0613,baseline,accuracy,61.0,0.74,
162,gpt-4-0613,baseline,accuracy,62.0,0.74,
163,gpt-4-0613,baseline,accuracy,63.0,0.73,
164,gpt-4-0613,baseline,accuracy,64.0,0.74,
165,gpt-4-0613,baseline,accuracy,65.0,0.77,
166,gpt-4-0613,baseline,accuracy,66.0,0.76,
167,gpt-4-0613,baseline,accuracy,67.0,0.74,
168,gpt-4-0613,baseline,accuracy,68.0,0.76,
169,gpt-4-0613,baseline,accuracy,69.0,0.74,
170,gpt-4-0613,baseline,accuracy,70.0,0.72,
171,gpt-4-0613,baseline,accuracy,71.0,0.73,
172,gpt-4-0613,baseline,accuracy,72.0,0.7368421052631579,
173,gpt-4-0613,baseline,accuracy,73.0,0.76,
174,gpt-4-0613,baseline,accuracy,74.0,0.75,
175,gpt-4-0613,baseline,accuracy,75.0,0.77,
176,gpt-4-0613,baseline,accuracy,76.0,0.72,
177,gpt-4-0613,baseline,accuracy,77.0,0.71,
178,gpt-4-0613,baseline,accuracy,78.0,0.73,
179,gpt-4-0613,baseline,accuracy,79.0,0.73,
180,gpt-4-0613,baseline,accuracy,80.0,0.74,
181,gpt-4-0613,baseline,accuracy,81.0,0.73,
182,gpt-4-0613,baseline,accuracy,82.0,0.75,
183,gpt-4-0613,baseline,accuracy,83.0,0.74,
184,gpt-4-0613,baseline,accuracy,84.0,0.75,
185,gpt-4-0613,baseline,accuracy,85.0,0.73,
186,gpt-4-0613,baseline,accuracy,86.0,0.74,
187,gpt-4-0613,baseline,accuracy,87.0,0.73,
188,gpt-4-0613,baseline,accuracy,88.0,0.74,
189,gpt-4-0613,baseline,accuracy,89.0,0.73,
190,gpt-4-0613,baseline,accuracy,90.0,0.72,
191,gpt-4-0613,baseline,accuracy,91.0,0.74,
192,gpt-4-0613,baseline,accuracy,92.0,0.75,
193,gpt-4-0613,baseline,accuracy,93.0,0.74,
194,gpt-4-0613,baseline,accuracy,94.0,0.71,
195,gpt-4-0613,baseline,accuracy,95.0,0.72,
196,gpt-4-0613,baseline,accuracy,96.0,0.75,
197,gpt-4-0613,baseline,accuracy,97.0,0.74,
198,gpt-4-0613,baseline,accuracy,98.0,0.76,
199,gpt-4-0613,baseline,accuracy,99.0,0.76,
200,gpt-4o,baseline,accuracy,0.0,0.76,
201,gpt-4o,baseline,accuracy,1.0,0.76,
202,gpt-4o,baseline,accuracy,2.0,0.72,
203,gpt-4o,baseline,accuracy,3.0,0.75,
204,gpt-4o,baseline,accuracy,4.0,0.73,
205,gpt-4o,baseline,accuracy,5.0,0.73,
206,gpt-4o,baseline,accuracy,6.0,0.75,
207,gpt-4o,baseline,accuracy,7.0,0.77,
208,gpt-4o,baseline,accuracy,8.0,0.77,
209,gpt-4o,baseline,accuracy,9.0,0.74,
210,gpt-4o,baseline,accuracy,10.0,0.73,
211,gpt-4o,baseline,accuracy,11.0,0.77,
212,gpt-4o,baseline,accuracy,12.0,0.77,
213,gpt-4o,baseline,accuracy,13.0,0.73,
214,gpt-4o,baseline,accuracy,14.0,0.78,
215,gpt-4o,baseline,accuracy,15.0,0.75,
216,gpt-4o,baseline,accuracy,16.0,0.73,
217,gpt-4o,baseline,accuracy,17.0,0.76,
218,gpt-4o,baseline,accuracy,18.0,0.77,
219,gpt-4o,baseline,accuracy,19.0,0.75,
220,gpt-4o,baseline,accuracy,20.0,0.76,
221,gpt-4o,baseline,accuracy,21.0,0.76,
222,gpt-4o,baseline,accuracy,22.0,0.75,
223,gpt-4o,baseline,accuracy,23.0,0.76,
224,gpt-4o,baseline,accuracy,24.0,0.77,
225,gpt-4o,baseline,accuracy,25.0,0.76,
226,gpt-4o,baseline,accuracy,26.0,0.76,
227,gpt-4o,baseline,accuracy,27.0,0.74,
228,gpt-4o,baseline,accuracy,28.0,0.74,
229,gpt-4o,baseline,accuracy,29.0,0.74,
230,gpt-4o,baseline,accuracy,30.0,0.74,
231,gpt-4o,baseline,accuracy,31.0,0.74,
232,gpt-4o,baseline,accuracy,32.0,0.74,
233,gpt-4o,baseline,accuracy,33.0,0.76,
234,gpt-4o,baseline,accuracy,34.0,0.74,
235,gpt-4o,baseline,accuracy,35.0,0.75,
236,gpt-4o,baseline,accuracy,36.0,0.74,
237,gpt-4o,baseline,accuracy,37.0,0.75,
238,gpt-4o,baseline,accuracy,38.0,0.78,
239,gpt-4o,baseline,accuracy,39.0,0.74,
240,gpt-4o,baseline,accuracy,40.0,0.78,
241,gpt-4o,baseline,accuracy,41.0,0.75,
242,gpt-4o,baseline,accuracy,42.0,0.76,
243,gpt-4o,baseline,accuracy,43.0,0.74,
244,gpt-4o,baseline,accuracy,44.0,0.74,
245,gpt-4o,baseline,accuracy,45.0,0.74,
246,gpt-4o,baseline,accuracy,46.0,0.75,
247,gpt-4o,baseline,accuracy,47.0,0.78,
248,gpt-4o,baseline,accuracy,48.0,0.77,
249,gpt-4o,baseline,accuracy,49.0,0.76,
250,gpt-4o,baseline,accuracy,50.0,0.73,
251,gpt-4o,baseline,accuracy,51.0,0.75,
252,gpt-4o,baseline,accuracy,52.0,0.75,
253,gpt-4o,baseline,accuracy,53.0,0.76,
254,gpt-4o,baseline,accuracy,54.0,0.74,
255,gpt-4o,baseline,accuracy,55.0,0.75,
256,gpt-4o,baseline,accuracy,56.0,0.74,
257,gpt-4o,baseline,accuracy,57.0,0.75,
258,gpt-4o,baseline,accuracy,58.0,0.76,
259,gpt-4o,baseline,accuracy,59.0,0.75,
260,gpt-4o,baseline,accuracy,60.0,0.77,
261,gpt-4o,baseline,accuracy,61.0,0.76,
262,gpt-4o,baseline,accuracy,62.0,0.74,
263,gpt-4o,baseline,accuracy,63.0,0.74,
264,gpt-4o,baseline,accuracy,64.0,0.72,
265,gpt-4o,baseline,accuracy,65.0,0.74,
266,gpt-4o,baseline,accuracy,66.0,0.76,
267,gpt-4o,baseline,accuracy,67.0,0.79,
268,gpt-4o,baseline,accuracy,68.0,0.73,
269,gpt-4o,baseline,accuracy,69.0,0.76,
270,gpt-4o,baseline,accuracy,70.0,0.76,
271,gpt-4o,baseline,accuracy,71.0,0.73,
272,gpt-4o,baseline,accuracy,72.0,0.76,
273,gpt-4o,baseline,accuracy,73.0,0.77,
274,gpt-4o,baseline,accuracy,74.0,0.75,
275,gpt-4o,baseline,accuracy,75.0,0.77,
276,gpt-4o,baseline,accuracy,76.0,0.76,
277,gpt-4o,baseline,accuracy,77.0,0.74,
278,gpt-4o,baseline,accuracy,78.0,0.73,
279,gpt-4o,baseline,accuracy,79.0,0.74,
280,gpt-4o,baseline,accuracy,80.0,0.75,
281,gpt-4o,baseline,accuracy,81.0,0.76,
282,gpt-4o,baseline,accuracy,82.0,0.74,
283,gpt-4o,baseline,accuracy,83.0,0.74,
284,gpt-4o,baseline,accuracy,84.0,0.75,
285,gpt-4o,baseline,accuracy,85.0,0.78,
286,gpt-4o,baseline,accuracy,86.0,0.76,
287,gpt-4o,baseline,accuracy,87.0,0.75,
288,gpt-4o,baseline,accuracy,88.0,0.75,
289,gpt-4o,baseline,accuracy,89.0,0.77,
290,gpt-4o,baseline,accuracy,90.0,0.78,
291,gpt-4o,baseline,accuracy,91.0,0.73,
292,gpt-4o,baseline,accuracy,92.0,0.79,
293,gpt-4o,baseline,accuracy,93.0,0.77,
294,gpt-4o,baseline,accuracy,94.0,0.76,
295,gpt-4o,baseline,accuracy,95.0,0.78,
296,gpt-4o,baseline,accuracy,96.0,0.74,
297,gpt-4o,baseline,accuracy,97.0,0.79,
298,gpt-4o,baseline,accuracy,98.0,0.77,
299,gpt-4o,baseline,accuracy,99.0,0.74,
300,gpt-4o-mini,baseline,accuracy,0.0,0.82,
301,gpt-4o-mini,baseline,accuracy,1.0,0.8099999999999999,
302,gpt-4o-mini,baseline,accuracy,2.0,0.78,
303,gpt-4o-mini,baseline,accuracy,3.0,0.8,
304,gpt-4o-mini,baseline,accuracy,4.0,0.8099999999999999,
305,gpt-4o-mini,baseline,accuracy,5.0,0.77,
306,gpt-4o-mini,baseline,accuracy,6.0,0.8099999999999999,
307,gpt-4o-mini,baseline,accuracy,7.0,0.79,
308,gpt-4o-mini,baseline,accuracy,8.0,0.79,
309,gpt-4o-mini,baseline,accuracy,9.0,0.8099999999999999,
310,gpt-4o-mini,baseline,accuracy,10.0,0.79,
311,gpt-4o-mini,baseline,accuracy,11.0,0.79,
312,gpt-4o-mini,baseline,accuracy,12.0,0.79,
313,gpt-4o-mini,baseline,accuracy,13.0,0.82,
314,gpt-4o-mini,baseline,accuracy,14.0,0.8,
315,gpt-4o-mini,baseline,accuracy,15.0,0.8099999999999999,
316,gpt-4o-mini,baseline,accuracy,16.0,0.79,
317,gpt-4o-mini,baseline,accuracy,17.0,0.78,
318,gpt-4o-mini,baseline,accuracy,18.0,0.8099999999999999,
319,gpt-4o-mini,baseline,accuracy,19.0,0.8,
320,gpt-4o-mini,baseline,accuracy,20.0,0.79,
321,gpt-4o-mini,baseline,accuracy,21.0,0.8,
322,gpt-4o-mini,baseline,accuracy,22.0,0.79,
323,gpt-4o-mini,baseline,accuracy,23.0,0.82,
324,gpt-4o-mini,baseline,accuracy,24.0,0.8099999999999999,
325,gpt-4o-mini,baseline,accuracy,25.0,0.8099999999999999,
326,gpt-4o-mini,baseline,accuracy,26.0,0.79,
327,gpt-4o-mini,baseline,accuracy,27.0,0.8,
328,gpt-4o-mini,baseline,accuracy,28.0,0.79,
329,gpt-4o-mini,baseline,accuracy,29.0,0.8099999999999999,
330,gpt-4o-mini,baseline,accuracy,30.0,0.8099999999999999,
331,gpt-4o-mini,baseline,accuracy,31.0,0.8099999999999999,
332,gpt-4o-mini,baseline,accuracy,32.0,0.8099999999999999,
333,gpt-4o-mini,baseline,accuracy,33.0,0.78,
334,gpt-4o-mini,baseline,accuracy,34.0,0.82,
335,gpt-4o-mini,baseline,accuracy,35.0,0.82,
336,gpt-4o-mini,baseline,accuracy,36.0,0.82,
337,gpt-4o-mini,baseline,accuracy,37.0,0.8,
338,gpt-4o-mini,baseline,accuracy,38.0,0.8099999999999999,
339,gpt-4o-mini,baseline,accuracy,39.0,0.8099999999999999,
340,gpt-4o-mini,baseline,accuracy,40.0,0.77,
341,gpt-4o-mini,baseline,accuracy,41.0,0.78,
342,gpt-4o-mini,baseline,accuracy,42.0,0.78,
343,gpt-4o-mini,baseline,accuracy,43.0,0.77,
344,gpt-4o-mini,baseline,accuracy,44.0,0.77,
345,gpt-4o-mini,baseline,accuracy,45.0,0.8,
346,gpt-4o-mini,baseline,accuracy,46.0,0.78,
347,gpt-4o-mini,baseline,accuracy,47.0,0.8,
348,gpt-4o-mini,baseline,accuracy,48.0,0.8099999999999999,
349,gpt-4o-mini,baseline,accuracy,49.0,0.8,
350,gpt-4o-mini,baseline,accuracy,50.0,0.8099999999999999,
351,gpt-4o-mini,baseline,accuracy,51.0,0.79,
352,gpt-4o-mini,baseline,accuracy,52.0,0.78,
353,gpt-4o-mini,baseline,accuracy,53.0,0.79,
354,gpt-4o-mini,baseline,accuracy,54.0,0.8,
355,gpt-4o-mini,baseline,accuracy,55.0,0.79,
356,gpt-4o-mini,baseline,accuracy,56.0,0.8,
357,gpt-4o-mini,baseline,accuracy,57.0,0.82,
358,gpt-4o-mini,baseline,accuracy,58.0,0.77,
359,gpt-4o-mini,baseline,accuracy,59.0,0.8,
360,gpt-4o-mini,baseline,accuracy,60.0,0.79,
361,gpt-4o-mini,baseline,accuracy,61.0,0.8,
362,gpt-4o-mini,baseline,accuracy,62.0,0.78,
363,gpt-4o-mini,baseline,accuracy,63.0,0.79,
364,gpt-4o-mini,baseline,accuracy,64.0,0.77,
365,gpt-4o-mini,baseline,accuracy,65.0,0.79,
366,gpt-4o-mini,baseline,accuracy,66.0,0.8,
367,gpt-4o-mini,baseline,accuracy,67.0,0.8099999999999999,
368,gpt-4o-mini,baseline,accuracy,68.0,0.79,
369,gpt-4o-mini,baseline,accuracy,69.0,0.8,
370,gpt-4o-mini,baseline,accuracy,70.0,0.82,
371,gpt-4o-mini,baseline,accuracy,71.0,0.8,
372,gpt-4o-mini,baseline,accuracy,72.0,0.79,
373,gpt-4o-mini,baseline,accuracy,73.0,0.8,
374,gpt-4o-mini,baseline,accuracy,74.0,0.8,
375,gpt-4o-mini,baseline,accuracy,75.0,0.79,
376,gpt-4o-mini,baseline,accuracy,76.0,0.8,
377,gpt-4o-mini,baseline,accuracy,77.0,0.78,
378,gpt-4o-mini,baseline,accuracy,78.0,0.8,
379,gpt-4o-mini,baseline,accuracy,79.0,0.78,
380,gpt-4o-mini,baseline,accuracy,80.0,0.8,
381,gpt-4o-mini,baseline,accuracy,81.0,0.8,
382,gpt-4o-mini,baseline,accuracy,82.0,0.8,
383,gpt-4o-mini,baseline,accuracy,83.0,0.8099999999999999,
384,gpt-4o-mini,baseline,accuracy,84.0,0.79,
385,gpt-4o-mini,baseline,accuracy,85.0,0.78,
386,gpt-4o-mini,baseline,accuracy,86.0,0.79,
387,gpt-4o-mini,baseline,accuracy,87.0,0.78,
388,gpt-4o-mini,baseline,accuracy,88.0,0.78,
389,gpt-4o-mini,baseline,accuracy,89.0,0.8,
390,gpt-4o-mini,baseline,accuracy,90.0,0.78,
391,gpt-4o-mini,baseline,accuracy,91.0,0.8,
392,gpt-4o-mini,baseline,accuracy,92.0,0.8099999999999999,
393,gpt-4o-mini,baseline,accuracy,93.0,0.79,
394,gpt-4o-mini,baseline,accuracy,94.0,0.8,
395,gpt-4o-mini,baseline,accuracy,95.0,0.77,
396,gpt-4o-mini,baseline,accuracy,96.0,0.8099999999999999,
397,gpt-4o-mini,baseline,accuracy,97.0,0.79,
398,gpt-4o-mini,baseline,accuracy,98.0,0.8,
399,gpt-4o-mini,baseline,accuracy,99.0,0.8,
400,llama2,baseline,accuracy,0.0,0.5777777777777778,
401,llama2,baseline,accuracy,1.0,0.6000000000000001,
402,llama2,baseline,accuracy,2.0,0.6,
403,llama2,baseline,accuracy,3.0,0.5777777777777778,
404,llama2,baseline,accuracy,4.0,0.6,
405,llama2,baseline,accuracy,5.0,0.6210526315789474,
406,llama2,baseline,accuracy,6.0,0.6,
407,llama2,baseline,accuracy,7.0,0.6210526315789474,
408,llama2,baseline,accuracy,8.0,0.5666666666666668,
409,llama2,baseline,accuracy,9.0,0.5368421052631579,
410,llama2,baseline,accuracy,10.0,0.5777777777777778,
411,llama2,baseline,accuracy,11.0,0.5777777777777778,
412,llama2,baseline,accuracy,12.0,0.631578947368421,
413,llama2,baseline,accuracy,13.0,0.6000000000000001,
414,llama2,baseline,accuracy,14.0,0.5157894736842106,
415,llama2,baseline,accuracy,15.0,0.5444444444444445,
416,llama2,baseline,accuracy,16.0,0.5900000000000001,
417,llama2,baseline,accuracy,17.0,0.6333333333333333,
418,llama2,baseline,accuracy,18.0,0.5647058823529412,
419,llama2,baseline,accuracy,19.0,0.5777777777777778,
420,llama2,baseline,accuracy,20.0,0.631578947368421,
421,llama2,baseline,accuracy,21.0,0.5777777777777778,
422,llama2,baseline,accuracy,22.0,0.5894736842105264,
423,llama2,baseline,accuracy,23.0,0.5666666666666667,
424,llama2,baseline,accuracy,24.0,0.5666666666666668,
425,llama2,baseline,accuracy,25.0,0.6111111111111112,
426,llama2,baseline,accuracy,26.0,0.6222222222222222,
427,llama2,baseline,accuracy,27.0,0.6,
428,llama2,baseline,accuracy,28.0,0.6210526315789474,
429,llama2,baseline,accuracy,29.0,0.6111111111111112,
430,llama2,baseline,accuracy,30.0,0.6105263157894737,
431,llama2,baseline,accuracy,31.0,0.5894736842105264,
432,llama2,baseline,accuracy,32.0,0.6105263157894737,
433,llama2,baseline,accuracy,33.0,0.5333333333333333,
434,llama2,baseline,accuracy,34.0,0.6105263157894738,
435,llama2,baseline,accuracy,35.0,0.58,
436,llama2,baseline,accuracy,36.0,0.63,
437,llama2,baseline,accuracy,37.0,0.6105263157894737,
438,llama2,baseline,accuracy,38.0,0.5684210526315789,
439,llama2,baseline,accuracy,39.0,0.55,
440,llama2,baseline,accuracy,40.0,0.5894736842105263,
441,llama2,baseline,accuracy,41.0,0.6,
442,llama2,baseline,accuracy,42.0,0.6222222222222222,
443,llama2,baseline,accuracy,43.0,0.62,
444,llama2,baseline,accuracy,44.0,0.6222222222222222,
445,llama2,baseline,accuracy,45.0,0.6210526315789474,
446,llama2,baseline,accuracy,46.0,0.58,
447,llama2,baseline,accuracy,47.0,0.6111111111111112,
448,llama2,baseline,accuracy,48.0,0.6105263157894737,
449,llama2,baseline,accuracy,49.0,0.6421052631578947,
450,llama2,baseline,accuracy,50.0,0.6210526315789474,
451,llama2,baseline,accuracy,51.0,0.5900000000000001,
