,model,persona,variant,pid,vda,vda_normalized
147,gpt-4-0613,baseline,cot,47.0,0.9800000000000001,
148,gpt-4-0613,baseline,cot,48.0,0.9333333333333333,
149,gpt-4-0613,baseline,cot,49.0,0.9800000000000001,
150,gpt-4-0613,baseline,cot,50.0,0.9777777777777779,
151,gpt-4-0613,baseline,cot,51.0,0.9333333333333333,
152,gpt-4-0613,baseline,cot,52.0,0.9777777777777779,
153,gpt-4-0613,baseline,cot,53.0,0.911111111111111,
154,gpt-4-0613,baseline,cot,54.0,0.975,
155,gpt-4-0613,baseline,cot,55.0,0.96,
156,gpt-4-0613,baseline,cot,56.0,0.9666666666666667,
157,gpt-4-0613,baseline,cot,57.0,0.9818181818181819,
158,gpt-4-0613,baseline,cot,58.0,0.9777777777777779,
159,gpt-4-0613,baseline,cot,59.0,0.9,
160,gpt-4-0613,baseline,cot,60.0,0.86,
161,gpt-4-0613,baseline,cot,61.0,0.9777777777777779,
162,gpt-4-0613,baseline,cot,62.0,0.9454545454545454,
163,gpt-4-0613,baseline,cot,63.0,0.9500000000000001,
164,gpt-4-0613,baseline,cot,64.0,0.9818181818181819,
165,gpt-4-0613,baseline,cot,65.0,0.9333333333333333,
166,gpt-4-0613,baseline,cot,66.0,0.96,
167,gpt-4-0613,baseline,cot,67.0,0.975,
168,gpt-4-0613,baseline,cot,68.0,0.9777777777777779,
169,gpt-4-0613,baseline,cot,69.0,0.9800000000000001,
170,gpt-4-0613,baseline,cot,70.0,0.9800000000000001,
171,gpt-4-0613,baseline,cot,71.0,0.9800000000000001,
172,gpt-4-0613,baseline,cot,72.0,0.9777777777777779,
173,gpt-4-0613,baseline,cot,73.0,0.9272727272727272,
174,gpt-4-0613,baseline,cot,74.0,0.95,
175,gpt-4-0613,baseline,cot,75.0,0.9777777777777779,
176,gpt-4-0613,baseline,cot,76.0,0.9666666666666667,
177,gpt-4-0613,baseline,cot,77.0,0.9500000000000001,
178,gpt-4-0613,baseline,cot,78.0,0.9333333333333332,
179,gpt-4-0613,baseline,cot,79.0,0.9800000000000001,
180,gpt-4-0613,baseline,cot,80.0,0.9666666666666667,
181,gpt-4-0613,baseline,cot,81.0,0.9800000000000001,
182,gpt-4-0613,baseline,cot,82.0,0.9454545454545454,
183,gpt-4-0613,baseline,cot,83.0,0.9818181818181819,
184,gpt-4-0613,baseline,cot,84.0,0.9454545454545454,
185,gpt-4-0613,baseline,cot,85.0,0.95,
186,gpt-4-0613,baseline,cot,86.0,0.9400000000000001,
187,gpt-4-0613,baseline,cot,87.0,0.9,
188,gpt-4-0613,baseline,cot,88.0,0.9272727272727272,
189,gpt-4-0613,baseline,cot,89.0,0.9333333333333332,
190,gpt-4-0613,baseline,cot,90.0,0.9199999999999999,
191,gpt-4-0613,baseline,cot,91.0,0.96,
192,gpt-4-0613,baseline,cot,92.0,0.9818181818181819,
193,gpt-4-0613,baseline,cot,93.0,0.9400000000000001,
194,gpt-4-0613,baseline,cot,94.0,0.9818181818181819,
195,gpt-4-0613,baseline,cot,95.0,0.9818181818181819,
196,gpt-4-0613,baseline,cot,96.0,0.9833333333333334,
197,gpt-4-0613,baseline,cot,97.0,0.9800000000000001,
198,gpt-4-0613,baseline,cot,98.0,0.9199999999999999,
199,gpt-4-0613,baseline,cot,99.0,0.96,
200,gpt-4o,baseline,cot,0.0,0.89,
201,gpt-4o,baseline,cot,1.0,0.89,
202,gpt-4o,baseline,cot,2.0,0.86,
203,gpt-4o,baseline,cot,3.0,0.9199999999999999,
204,gpt-4o,baseline,cot,4.0,0.89,
205,gpt-4o,baseline,cot,5.0,0.9400000000000001,
206,gpt-4o,baseline,cot,6.0,0.9199999999999999,
207,gpt-4o,baseline,cot,7.0,0.93,
208,gpt-4o,baseline,cot,8.0,0.9099999999999999,
209,gpt-4o,baseline,cot,9.0,0.9099999999999999,
210,gpt-4o,baseline,cot,10.0,0.9199999999999999,
211,gpt-4o,baseline,cot,11.0,0.9400000000000001,
212,gpt-4o,baseline,cot,12.0,0.9199999999999999,
213,gpt-4o,baseline,cot,13.0,0.93,
214,gpt-4o,baseline,cot,14.0,0.93,
215,gpt-4o,baseline,cot,15.0,0.9099999999999999,
216,gpt-4o,baseline,cot,16.0,0.9,
217,gpt-4o,baseline,cot,17.0,0.9400000000000001,
218,gpt-4o,baseline,cot,18.0,0.9199999999999999,
219,gpt-4o,baseline,cot,19.0,0.89,
220,gpt-4o,baseline,cot,20.0,0.93,
221,gpt-4o,baseline,cot,21.0,0.95,
222,gpt-4o,baseline,cot,22.0,0.9,
223,gpt-4o,baseline,cot,23.0,0.9,
224,gpt-4o,baseline,cot,24.0,0.89,
225,gpt-4o,baseline,cot,25.0,0.89,
226,gpt-4o,baseline,cot,26.0,0.9,
227,gpt-4o,baseline,cot,27.0,0.89,
228,gpt-4o,baseline,cot,28.0,0.9,
229,gpt-4o,baseline,cot,29.0,0.9199999999999999,
230,gpt-4o,baseline,cot,30.0,0.9199999999999999,
231,gpt-4o,baseline,cot,31.0,0.9099999999999999,
232,gpt-4o,baseline,cot,32.0,0.9,
233,gpt-4o,baseline,cot,33.0,0.9,
234,gpt-4o,baseline,cot,34.0,0.9,
235,gpt-4o,baseline,cot,35.0,0.9,
236,gpt-4o,baseline,cot,36.0,0.9400000000000001,
237,gpt-4o,baseline,cot,37.0,0.9099999999999999,
238,gpt-4o,baseline,cot,38.0,0.89,
239,gpt-4o,baseline,cot,39.0,0.9199999999999999,
240,gpt-4o,baseline,cot,40.0,0.9099999999999999,
241,gpt-4o,baseline,cot,41.0,0.93,
242,gpt-4o,baseline,cot,42.0,0.9099999999999999,
243,gpt-4o,baseline,cot,43.0,0.8800000000000001,
244,gpt-4o,baseline,cot,44.0,0.9099999999999999,
245,gpt-4o,baseline,cot,45.0,0.9,
246,gpt-4o,baseline,cot,46.0,0.9099999999999999,
247,gpt-4o,baseline,cot,47.0,0.93,
248,gpt-4o,baseline,cot,48.0,0.8800000000000001,
249,gpt-4o,baseline,cot,49.0,0.9,
250,gpt-4o,baseline,cot,50.0,0.95,
251,gpt-4o,baseline,cot,51.0,0.9099999999999999,
252,gpt-4o,baseline,cot,52.0,0.9099999999999999,
253,gpt-4o,baseline,cot,53.0,0.89,
254,gpt-4o,baseline,cot,54.0,0.93,
255,gpt-4o,baseline,cot,55.0,0.8699999999999999,
256,gpt-4o,baseline,cot,56.0,0.9199999999999999,
257,gpt-4o,baseline,cot,57.0,0.93,
258,gpt-4o,baseline,cot,58.0,0.9,
259,gpt-4o,baseline,cot,59.0,0.9,
260,gpt-4o,baseline,cot,60.0,0.9099999999999999,
261,gpt-4o,baseline,cot,61.0,0.89,
262,gpt-4o,baseline,cot,62.0,0.9,
263,gpt-4o,baseline,cot,63.0,0.9,
264,gpt-4o,baseline,cot,64.0,0.9099999999999999,
265,gpt-4o,baseline,cot,65.0,0.86,
266,gpt-4o,baseline,cot,66.0,0.8699999999999999,
267,gpt-4o,baseline,cot,67.0,0.9099999999999999,
268,gpt-4o,baseline,cot,68.0,0.93,
269,gpt-4o,baseline,cot,69.0,0.93,
270,gpt-4o,baseline,cot,70.0,0.9099999999999999,
271,gpt-4o,baseline,cot,71.0,0.8800000000000001,
272,gpt-4o,baseline,cot,72.0,0.9199999999999999,
273,gpt-4o,baseline,cot,73.0,0.9099999999999999,
274,gpt-4o,baseline,cot,74.0,0.8699999999999999,
275,gpt-4o,baseline,cot,75.0,0.93,
276,gpt-4o,baseline,cot,76.0,0.9199999999999999,
277,gpt-4o,baseline,cot,77.0,0.8699999999999999,
278,gpt-4o,baseline,cot,78.0,0.9099999999999999,
279,gpt-4o,baseline,cot,79.0,0.9199999999999999,
280,gpt-4o,baseline,cot,80.0,0.9099999999999999,
281,gpt-4o,baseline,cot,81.0,0.8800000000000001,
282,gpt-4o,baseline,cot,82.0,0.8699999999999999,
283,gpt-4o,baseline,cot,83.0,0.9199999999999999,
284,gpt-4o,baseline,cot,84.0,0.9,
285,gpt-4o,baseline,cot,85.0,0.95,
286,gpt-4o,baseline,cot,86.0,0.9199999999999999,
287,gpt-4o,baseline,cot,87.0,0.95,
288,gpt-4o,baseline,cot,88.0,0.93,
289,gpt-4o,baseline,cot,89.0,0.9,
290,gpt-4o,baseline,cot,90.0,0.9,
291,gpt-4o,baseline,cot,91.0,0.9,
292,gpt-4o,baseline,cot,92.0,0.93,
293,gpt-4o,baseline,cot,93.0,0.9099999999999999,
294,gpt-4o,baseline,cot,94.0,0.9,
295,gpt-4o,baseline,cot,95.0,0.9099999999999999,
296,gpt-4o,baseline,cot,96.0,0.9368421052631579,
297,gpt-4o,baseline,cot,97.0,0.89,
298,gpt-4o,baseline,cot,98.0,0.89,
299,gpt-4o,baseline,cot,99.0,0.9,
300,gpt-4o-mini,baseline,cot,0.0,0.79,
301,gpt-4o-mini,baseline,cot,1.0,0.8,
302,gpt-4o-mini,baseline,cot,2.0,0.8,
303,gpt-4o-mini,baseline,cot,3.0,0.85,
304,gpt-4o-mini,baseline,cot,4.0,0.8099999999999999,
305,gpt-4o-mini,baseline,cot,5.0,0.82,
306,gpt-4o-mini,baseline,cot,6.0,0.82,
307,gpt-4o-mini,baseline,cot,7.0,0.8,
308,gpt-4o-mini,baseline,cot,8.0,0.79,
309,gpt-4o-mini,baseline,cot,9.0,0.79,
310,gpt-4o-mini,baseline,cot,10.0,0.8400000000000001,
311,gpt-4o-mini,baseline,cot,11.0,0.82,
312,gpt-4o-mini,baseline,cot,12.0,0.82,
313,gpt-4o-mini,baseline,cot,13.0,0.8300000000000001,
314,gpt-4o-mini,baseline,cot,14.0,0.8099999999999999,
315,gpt-4o-mini,baseline,cot,15.0,0.79,
316,gpt-4o-mini,baseline,cot,16.0,0.8300000000000001,
317,gpt-4o-mini,baseline,cot,17.0,0.82,
318,gpt-4o-mini,baseline,cot,18.0,0.8400000000000001,
319,gpt-4o-mini,baseline,cot,19.0,0.8099999999999999,
320,gpt-4o-mini,baseline,cot,20.0,0.8,
321,gpt-4o-mini,baseline,cot,21.0,0.8300000000000001,
322,gpt-4o-mini,baseline,cot,22.0,0.8300000000000001,
323,gpt-4o-mini,baseline,cot,23.0,0.8,
324,gpt-4o-mini,baseline,cot,24.0,0.8,
325,gpt-4o-mini,baseline,cot,25.0,0.8400000000000001,
326,gpt-4o-mini,baseline,cot,26.0,0.78,
327,gpt-4o-mini,baseline,cot,27.0,0.8,
328,gpt-4o-mini,baseline,cot,28.0,0.82,
329,gpt-4o-mini,baseline,cot,29.0,0.8400000000000001,
330,gpt-4o-mini,baseline,cot,30.0,0.8099999999999999,
331,gpt-4o-mini,baseline,cot,31.0,0.8300000000000001,
332,gpt-4o-mini,baseline,cot,32.0,0.8099999999999999,
333,gpt-4o-mini,baseline,cot,33.0,0.8300000000000001,
334,gpt-4o-mini,baseline,cot,34.0,0.8,
335,gpt-4o-mini,baseline,cot,35.0,0.82,
336,gpt-4o-mini,baseline,cot,36.0,0.86,
337,gpt-4o-mini,baseline,cot,37.0,0.8099999999999999,
338,gpt-4o-mini,baseline,cot,38.0,0.8300000000000001,
339,gpt-4o-mini,baseline,cot,39.0,0.79,
340,gpt-4o-mini,baseline,cot,40.0,0.79,
341,gpt-4o-mini,baseline,cot,41.0,0.82,
342,gpt-4o-mini,baseline,cot,42.0,0.82,
343,gpt-4o-mini,baseline,cot,43.0,0.8,
344,gpt-4o-mini,baseline,cot,44.0,0.82,
345,gpt-4o-mini,baseline,cot,45.0,0.8,
346,gpt-4o-mini,baseline,cot,46.0,0.8400000000000001,
347,gpt-4o-mini,baseline,cot,47.0,0.8,
348,gpt-4o-mini,baseline,cot,48.0,0.8099999999999999,
349,gpt-4o-mini,baseline,cot,49.0,0.8,
350,gpt-4o-mini,baseline,cot,50.0,0.8,
351,gpt-4o-mini,baseline,cot,51.0,0.82,
352,gpt-4o-mini,baseline,cot,52.0,0.8099999999999999,
353,gpt-4o-mini,baseline,cot,53.0,0.8,
354,gpt-4o-mini,baseline,cot,54.0,0.82,
355,gpt-4o-mini,baseline,cot,55.0,0.8099999999999999,
356,gpt-4o-mini,baseline,cot,56.0,0.8400000000000001,
357,gpt-4o-mini,baseline,cot,57.0,0.8,
358,gpt-4o-mini,baseline,cot,58.0,0.8099999999999999,
359,gpt-4o-mini,baseline,cot,59.0,0.8300000000000001,
360,gpt-4o-mini,baseline,cot,60.0,0.8099999999999999,
361,gpt-4o-mini,baseline,cot,61.0,0.8,
362,gpt-4o-mini,baseline,cot,62.0,0.8300000000000001,
363,gpt-4o-mini,baseline,cot,63.0,0.8,
364,gpt-4o-mini,baseline,cot,64.0,0.8099999999999999,
365,gpt-4o-mini,baseline,cot,65.0,0.85,
366,gpt-4o-mini,baseline,cot,66.0,0.8300000000000001,
367,gpt-4o-mini,baseline,cot,67.0,0.79,
368,gpt-4o-mini,baseline,cot,68.0,0.8099999999999999,
369,gpt-4o-mini,baseline,cot,69.0,0.8,
370,gpt-4o-mini,baseline,cot,70.0,0.85,
371,gpt-4o-mini,baseline,cot,71.0,0.8099999999999999,
372,gpt-4o-mini,baseline,cot,72.0,0.86,
373,gpt-4o-mini,baseline,cot,73.0,0.8,
374,gpt-4o-mini,baseline,cot,74.0,0.82,
375,gpt-4o-mini,baseline,cot,75.0,0.8,
376,gpt-4o-mini,baseline,cot,76.0,0.79,
377,gpt-4o-mini,baseline,cot,77.0,0.82,
378,gpt-4o-mini,baseline,cot,78.0,0.8400000000000001,
379,gpt-4o-mini,baseline,cot,79.0,0.8099999999999999,
380,gpt-4o-mini,baseline,cot,80.0,0.82,
381,gpt-4o-mini,baseline,cot,81.0,0.8,
382,gpt-4o-mini,baseline,cot,82.0,0.82,
383,gpt-4o-mini,baseline,cot,83.0,0.82,
384,gpt-4o-mini,baseline,cot,84.0,0.78,
385,gpt-4o-mini,baseline,cot,85.0,0.8,
386,gpt-4o-mini,baseline,cot,86.0,0.82,
387,gpt-4o-mini,baseline,cot,87.0,0.79,
388,gpt-4o-mini,baseline,cot,88.0,0.8300000000000001,
389,gpt-4o-mini,baseline,cot,89.0,0.8,
390,gpt-4o-mini,baseline,cot,90.0,0.8,
391,gpt-4o-mini,baseline,cot,91.0,0.79,
392,gpt-4o-mini,baseline,cot,92.0,0.82,
393,gpt-4o-mini,baseline,cot,93.0,0.8099999999999999,
394,gpt-4o-mini,baseline,cot,94.0,0.82,
395,gpt-4o-mini,baseline,cot,95.0,0.82,
396,gpt-4o-mini,baseline,cot,96.0,0.82,
397,gpt-4o-mini,baseline,cot,97.0,0.8099999999999999,
398,gpt-4o-mini,baseline,cot,98.0,0.8400000000000001,
399,gpt-4o-mini,baseline,cot,99.0,0.79,
400,llama2,baseline,cot,0.0,0.5777777777777778,
401,llama2,baseline,cot,1.0,0.5473684210526316,
402,llama2,baseline,cot,2.0,0.5473684210526316,
403,llama2,baseline,cot,3.0,0.5444444444444445,
404,llama2,baseline,cot,4.0,0.5578947368421052,
405,llama2,baseline,cot,5.0,0.5263157894736842,
406,llama2,baseline,cot,6.0,0.6000000000000001,
407,llama2,baseline,cot,7.0,0.5368421052631579,
408,llama2,baseline,cot,8.0,0.5368421052631579,
409,llama2,baseline,cot,9.0,0.5444444444444445,
410,llama2,baseline,cot,10.0,0.5473684210526316,
411,llama2,baseline,cot,11.0,0.5222222222222223,
412,llama2,baseline,cot,12.0,0.5777777777777778,
413,llama2,baseline,cot,13.0,0.5555555555555556,
414,llama2,baseline,cot,14.0,0.5578947368421052,
415,llama2,baseline,cot,15.0,0.5444444444444445,
416,llama2,baseline,cot,16.0,0.5777777777777778,
417,llama2,baseline,cot,17.0,0.5222222222222223,
418,llama2,baseline,cot,18.0,0.5555555555555556,
419,llama2,baseline,cot,19.0,0.5666666666666668,
420,llama2,baseline,cot,20.0,0.5368421052631579,
421,llama2,baseline,cot,21.0,0.5368421052631579,
422,llama2,baseline,cot,22.0,0.5444444444444445,
423,llama2,baseline,cot,23.0,0.5333333333333333,
424,llama2,baseline,cot,24.0,0.5473684210526316,
425,llama2,baseline,cot,25.0,0.5333333333333333,
426,llama2,baseline,cot,26.0,0.5666666666666668,
427,llama2,baseline,cot,27.0,0.5888888888888889,
428,llama2,baseline,cot,28.0,0.5263157894736842,
429,llama2,baseline,cot,29.0,0.588888888888889,
430,llama2,baseline,cot,30.0,0.5789473684210527,
431,llama2,baseline,cot,31.0,0.5263157894736842,
432,llama2,baseline,cot,32.0,0.5263157894736842,
433,llama2,baseline,cot,33.0,0.5368421052631579,
434,llama2,baseline,cot,34.0,0.5263157894736842,
435,llama2,baseline,cot,35.0,0.588888888888889,
436,llama2,baseline,cot,36.0,0.5333333333333333,
437,llama2,baseline,cot,37.0,0.5894736842105264,
438,llama2,baseline,cot,38.0,0.623529411764706,
439,llama2,baseline,cot,39.0,0.6,
440,llama2,baseline,cot,40.0,0.5157894736842106,
441,llama2,baseline,cot,41.0,0.5666666666666668,
442,llama2,baseline,cot,42.0,0.5777777777777778,
443,llama2,baseline,cot,43.0,0.5052631578947369,
444,llama2,baseline,cot,44.0,0.5052631578947369,
445,llama2,baseline,cot,45.0,0.5368421052631579,
446,llama2,baseline,cot,46.0,0.5777777777777778,
447,llama2,baseline,cot,47.0,0.5263157894736842,
448,llama2,baseline,cot,48.0,0.5789473684210527,
449,llama2,baseline,cot,49.0,0.5444444444444445,
450,llama2,baseline,cot,50.0,0.5368421052631579,
451,llama2,baseline,cot,51.0,0.5555555555555556,
452,llama2,baseline,cot,52.0,0.5368421052631579,
453,llama2,baseline,cot,53.0,0.5473684210526316,
454,llama2,baseline,cot,54.0,0.5578947368421052,
455,llama2,baseline,cot,55.0,0.58,
456,llama2,baseline,cot,56.0,0.5666666666666668,
457,llama2,baseline,cot,57.0,0.5368421052631579,
458,llama2,baseline,cot,58.0,0.5333333333333334,
459,llama2,baseline,cot,59.0,0.5263157894736842,
460,llama2,baseline,cot,60.0,0.5111111111111112,
461,llama2,baseline,cot,61.0,0.588888888888889,
462,llama2,baseline,cot,62.0,0.5555555555555556,
463,llama2,baseline,cot,63.0,0.5555555555555556,
464,llama2,baseline,cot,64.0,0.5333333333333333,
465,llama2,baseline,cot,65.0,0.5684210526315789,
